muscle_column,emg_fs,start_grf_idx,end_mocap_idx,mapped_start_emg_idx,mapped_end_emg_idx,cropped_length,status,subject,trial
Vastus Medialis (%),1778,3830,1172,6810,10419,3609,success,S04,4
Semitendinosus (%),1259,3830,1172,4822,7378,2556,success,S04,4
Bicep Femoris (%),1259,3830,1172,4822,7378,2556,success,S04,4
Tibialis Anterior (%),1259,3490,1096,4394,6899,2505,success,S04,5
Gastrocnemius Medialis (%),1778,3490,1096,6205,9743,3538,success,S04,5
Gastrocnemius Lateralis (%),1778,3490,1096,6205,9743,3538,success,S04,5
Rectus Femoris (%),1259,3490,1096,4394,6899,2505,success,S04,5
Vastus Lateralis (%),1778,3490,1096,6205,9743,3538,success,S04,5
Vastus Medialis (%),1778,3490,1096,6205,9743,3538,success,S04,5
Semitendinosus (%),1259,3490,1096,4394,6899,2505,success,S04,5
Bicep Femoris (%),1259,3490,1096,4394,6899,2505,success,S04,5
Tibialis Anterior (%),1259,3054,903,3845,5684,1839,success,S05,1
Gastrocnemius Medialis (%),1778,3054,903,5430,8028,2598,success,S05,1
Gastrocnemius Lateralis (%),1778,3054,903,5430,8028,2598,success,S05,1
Rectus Femoris (%),1259,3054,903,3845,5684,1839,success,S05,1
Vastus Lateralis (%),1778,3054,903,5430,8028,2598,success,S05,1
Vastus Medialis (%),1778,3054,903,5430,8028,2598,success,S05,1
Semitendinosus (%),1259,3054,903,3845,5684,1839,success,S05,1
Bicep Femoris (%),1259,3054,903,3845,5684,1839,success,S05,1
Tibialis Anterior (%),1259,2793,1006,3516,6333,2817,success,S07,1
Gastrocnemius Medialis (%),1778,2793,1006,4966,8943,3977,success,S07,1
Gastrocnemius Lateralis (%),1778,2793,1006,4966,8943,3977,success,S07,1
Rectus Femoris (%),1259,2793,1006,3516,6333,2817,success,S07,1
Vastus Lateralis (%),1778,2793,1006,4966,8943,3977,success,S07,1
Vastus Medialis (%),1778,2793,1006,4966,8943,3977,success,S07,1
Semitendinosus (%),1259,2793,1006,3516,6333,2817,success,S07,1
Bicep Femoris (%),1259,2793,1006,3516,6333,2817,success,S07,1
Tibialis Anterior (%),1259,2177,826,2741,5200,2459,success,S07,2
Gastrocnemius Medialis (%),1778,2177,826,3871,7343,3472,success,S07,2
Gastrocnemius Lateralis (%),1778,2177,826,3871,7343,3472,success,S07,2
Rectus Femoris (%),1259,2177,826,2741,5200,2459,success,S07,2
