time,RFCC_Acc_Y,LFCC_Acc_Y
0.0,-0.06678862531436791,-0.001954037400148101
0.005,-0.13115195246764255,-0.0066485766280849345
0.01,-0.2554992133271483,-0.01865068828306171
0.015,-0.37070246089725334,-0.03294506876208014
0.02,-0.4747964934495923,-0.04646878984759795
0.025,-0.5649186571397009,-0.05897043395224344
0.03,-0.6388506945399719,-0.07021669333142644
0.035,-0.6950915575843375,-0.08000235560099433
0.04,-0.7328784676294835,-0.0881613647390368
0.045,-0.7521629699133392,-0.09457654292068796
0.05,-0.7535523244802445,-0.09918600871117167
0.055,-0.738226474213111,-0.10198531283811546
0.06,-0.70783934428853,-0.10302526574670351
0.065,-0.6644115958420731,-0.10240611730454308
0.07,-0.6102206917652178,-0.10026913320646541
0.075,-0.547693214688572,-0.0967867745682583
0.08,-0.47930348038049925,-0.0921527156305667
0.085,-0.4074815477145056,-0.08657274332222192
0.09,-0.33453295216068235,-0.08025704621035254
0.095,-0.26257188357945416,-0.07341371061375662
0.1,-0.1934688526540107,-0.06624287584364731
0.105,-0.12881306604777276,-0.05893121739606325
0.11,-0.06988894652475419,-0.05164692625969631
0.115,-0.017665709117497985,-0.04453559704842293
0.12,0.02720132729518976,-0.03771727151642426
0.125,0.064359084445753,-0.03128464995327815
0.13,0.09373613544569886,-0.02530251522503411
0.135,0.11551457609808569,-0.019808616818117727
0.14,0.13009574904177007,-0.014816289991648211
0.145,0.13806132892697526,-0.010318794143282538
0.15,0.14013152504284132,-0.006294910451476454
0.155,0.13712239707146512,-0.0027149756014921284
0.16,0.1299043259818332,0.0004536068403115934
0.165,0.11936347854093467,0.003242184286955649
0.17,0.10636775715497943,0.005678427138633438
0.175,0.09173834638045464,0.007785597300324923
0.18,0.07622753860845315,0.009583004274382738
0.185,0.06050300265632021,0.011086929324921599
0.19,0.04513810724247054,0.012311531483755182
0.195,0.03060745644285487,0.013269750207411939
0.2,0.017286572621610957,0.013974450213360988
0.205,0.005454733260679162,0.014439760568540936
0.21,-0.00469978868200549,0.014682147264855047
0.215,-0.013072634769883962,0.014720771792831032
0.22,-0.019634911121713117,0.014577118200298488
0.225,-0.024423836114095793,0.01427424066489101
0.23,-0.02753283033420932,0.013835976982434798
0.235,-0.029101229471839657,0.013286212392138477
0.24,-0.029303734009955548,0.012648089267131003
0.245,-0.028339807459021288,0.011943128978009192
0.25,-0.026423371541195423,0.01119040994299602
0.255,-0.023773164098539447,0.010405922485379183
0.26,-0.020604017981407076,0.009601998337949155
