Tibialis Anterior (%),Gastrocnemius Medialis (%),Gastrocnemius Lateralis (%),Rectus Femoris (%),Vastus Lateralis (%),Vastus Medialis (%),Semitendinosus (%),Bicep Femoris (%)
7.015847457171473e-06,7.990978024875751,7.957576853856242,6.062258134425434e-06,29.56139154106308,14.582579093496312,3.5493684144660103e-06,2.88104489896656e-06
6.912683517950587e-06,8.011558209307704,7.968007764835525,6.162791418722988e-06,29.528186857627407,14.558564219133016,3.4892477072159637e-06,2.836839283650402e-06
6.805729332537918e-06,8.031861379367996,7.978258250255271,6.255584417647169e-06,29.494650152437096,14.534312560659501,3.4273961534214717e-06,2.7911205627988127e-06
6.695165573091007e-06,8.051881303208583,7.988327317564748,6.3407302348615844e-06,29.46079090183977,14.509829474199734,3.3639077906288137e-06,2.743963540874593e-06
6.581172018187572e-06,8.071611793606944,7.998214034097835,6.418326643251684e-06,29.42661865270906,14.485120305679382,3.298875976841806e-06,2.6954426025642766e-06
6.4639274137133604e-06,8.091046710577507,8.00791752706175,6.48847589247779e-06,29.392143016969648,14.460190388796848,3.232393323164051e-06,2.645631656353384e-06
6.343609337816976e-06,8.110179963966695,8.017436983471985,6.5512845169197935e-06,29.357373665879493,14.435045042951044,3.164551628629228e-06,2.5946040798020807e-06
6.220394069959225e-06,8.129005516029894,8.026771650032686,6.606863144174847e-06,29.32232032407866,14.409689571130965,3.095441817227609e-06,2.5424326665312253e-06
6.094456464080294e-06,8.147517383988996,8.035920832962235,6.655326304265307e-06,29.28699276341528,14.384129257772438,3.025153877134885e-06,2.4891895749270465e-06
5.9659698259039005e-06,8.1657096425694,8.04488389776424,6.69679223970992e-06,29.251400796560016,14.358369366587665,2.9537768021472583e-06,2.434946278570988e-06
5.83510579439346e-06,8.183576426515401,8.05366026894432,6.731382716607089e-06,29.215554270421645,14.332415138372982,2.881398535324746e-06,2.3797735183995708e-06
5.702034227371266e-06,8.201111933082933,8.062249429673138,6.7592228368747e-06,29.179463059377202,14.306271788800245,2.8081059148426105e-06,2.323741256597492e-06
5.566923091307768e-06,8.218310424508438,8.070650921395938,6.780440851786786e-06,29.143137058330172,14.279944506197042,2.7339846220488923e-06,2.266918632225555e-06
5.4299383552841675e-06,8.235166230452602,8.078864343388693,6.795167976942886e-06,29.10658617561037,14.253438449320566,2.659119131724116e-06,2.2093739185834698e-06
5.291243889127763e-06,8.251673750417474,8.086889352260851,6.803538208801691e-06,29.069820325729072,14.226758745129858,2.583592664537358e-06,2.1511744823060053e-06
5.15100136571582e-06,8.267827456135423,8.094725661404501,6.805688142906144e-06,29.032849422003064,14.199910486560885,2.5074871416910687e-06,2.092386744189485e-06
5.009370167440134e-06,8.283621893928217,8.102373040389876,6.801756793922799e-06,28.99568336906161,14.172898730308866,2.430883141745258e-06,2.0330761417441487e-06
4.866507296820898e-06,8.299051687034389,8.10983131430725,6.791885417613866e-06,28.958332055250136,14.14572849462226,2.353859859609953e-06,1.973307093466474e-06
4.722567291255158e-06,8.314111537903106,8.117100363055545,6.776217334855943e-06,28.9208053449448,14.118404757112717,2.2764950676931395e-06,1.9131429648241647e-06
4.577702141881702e-06,8.328796230452802,8.1241801205784,6.754897757815078e-06,28.883113070791964,14.090932452585267,2.198865079189816e-06,1.8526460359451438e-06
4.432061216541077e-06,8.343100632293062,8.131070574048799,6.72807361838337e-06,28.845265025886448,14.063316470892692,2.1210447134961656e-06,1.7918774710006114e-06
4.285791186806232e-06,8.357019696908388,8.137771763003583,6.695893398977967e-06,28.807270955902283,14.035561654817808,2.043107263731387e-06,1.730897289270904e-06
4.139035959056264e-06,8.370548465802658,8.144283778429406,6.658506965798901e-06,28.769140551189672,14.007672797986844,1.965124466348204e-06,1.6697643378816931e-06
3.991936609562748e-06,8.38368207060306,8.150606761801672,6.616065404637868e-06,28.730883438851613,13.9796546428169,1.8871664728116819e-06,1.608536266196842e-06
3.8446313235553044e-06,8.39641573512218,8.15674090407789,6.568720859325714e-06,28.69250917481484,13.951511878500131,1.8093018233245916e-06,1.5472695018530878e-06
3.697255338230239e-06,8.40874477737674,8.162686444646825,6.5166263729020155e-06,28.654027235910444,13.923249139027174,1.7315974225762522e-06,1.4860192284205996e-06
3.5499408896634844e-06,8.420664611561156,8.168443670234625,6.4599357315858934e-06,28.61544701198056,13.894871001252001,1.6541185174905046e-06,1.4248393646723762e-06
3.4028171635864072e-06,8.432170749973917,8.174012913769172,6.398803311622901e-06,28.576777798028026,13.866381983000323,1.5769286769472468e-06,1.3637825454444158e-06
3.2560102499806232e-06,8.443258804894619,8.179394553203835,6.333383929078587e-06,28.53802878642588,13.837786541223442,1.5000897734508023e-06,1.3029001040675782e-06
3.1096431014455442e-06,8.45392449040954,8.18458901030179,6.263832692645108e-06,28.4992090592029,13.809089070199605,1.4236619667172592e-06,1.242242056351111e-06
2.963835495290086e-06,8.46416362418375,8.189596749382074,6.190304859523128e-06,28.460327580420664,13.780293899784906,1.347703689151858e-06,1.1818570860968803e-06
2.818703999297767e-06,8.473972129177994,8.194418276028532,6.112955694437045e-06,28.421393188656474,13.751405293716108,1.2722716331864766e-06,1.121792532122471e-06
2.674361941112333e-06,8.483346035308788,8.199054135762745,6.0319403318375585e-06,28.38241458960564,13.72242744796771,1.1974207404463025e-06,1.0620943767704744e-06
2.530919381189011e-06,8.49228148105039,8.203504912682181,5.947413641341503e-06,28.3434003488157,13.693364489165932,1.1232041927138498e-06,1.0028072358804785e-06
2.388483089254589e-06,8.50077471497773,8.207771228065136,5.859530096454876e-06,28.30435888456429,13.664220473061938,1.049673404657617e-06,9.439743501995133e-07
2.247156524217711e-06,8.508822097249931,8.211853738944633,5.768443646621049e-06,28.26529846089143,13.634999383066853,9.768780182918475e-07,8.856375782059773e-07
2.1070398174690053e-06,8.516420101034962,8.215753136654088,5.674307592632261e-06,28.226227180796215,13.605705128850737,9.048658991330893e-07,8.278373903213842e-07
1.9682297595090796e-06,8.523565313876688,8.219470145348195,5.577274465438597e-06,28.187152979607077,13.57634154500749,8.336831340185187e-07,7.70612864483618e-07
1.8308197898408166e-06,8.530254439006137,8.223005520502628,5.477495908384952e-06,28.148083618533843,13.546912389787579,7.633740305503166e-07,7.140016830547749e-07
1.694899990061003e-06,8.536484296598976,8.226360047396339,5.375122562902664e-06,28.109026678409,13.51742134390031,6.939811181297463e-07,6.580401310361025e-07
