subject,1,2,3,4,5
29,Right Foot,Right Foot,Right Foot,Right Foot,Right Foot
65,Right Foot,Right Foot,Right Foot,Right Foot,Right Foot
52,Left Foot,Left Foot,Left Foot,Left Foot,Left Foot
34,Right Foot,Right Foot,Right Foot,Right Foot,Right Foot
30,Left Foot,Left Foot,Left Foot,Left Foot,Right Foot
43,Right Foot,Left Foot,Right Foot,Right Foot,Right Foot
