subject,1,2,3,4,5
53,Left Foot,Left Foot,Left Foot,Left Foot,Left Foot
55,Right Foot,Right Foot,Right Foot,Left Foot,Right Foot
45,Right Foot,Right Foot,Right Foot,Right Foot,Right Foot
54,Right Foot,Right Foot,Right Foot,Right Foot,Right Foot
42,Left Foot,Left Foot,Left Foot,Left Foot,Left Foot
56,Left Foot,Left Foot,Left Foot,Right Foot,Left Foot
